Date,RF
1971-01-01,0.0
1971-01-02,0.0
1971-01-03,0.0
1971-01-04,0.0
1971-01-05,0.0
1971-01-06,0.0
1971-01-07,0.0
1971-01-08,0.0
1971-01-09,0.0
1971-01-10,0.0
1971-01-11,0.0
1971-01-12,0.0
1971-01-13,0.0
1971-01-14,0.0
1971-01-15,0.0
1971-01-16,0.0
1971-01-17,0.0
1971-01-18,0.0
1971-01-19,0.0
1971-01-20,0.0
1971-01-21,0.0
1971-01-22,0.0
1971-01-23,0.0
1971-01-24,0.0
1971-01-25,0.0
1971-01-26,0.0
1971-01-27,0.0
1971-01-28,22.0
1971-01-29,0.0
1971-01-30,0.0
1971-01-31,4.6
1971-02-01,0.0
1971-02-02,0.0
1971-02-03,0.0
1971-02-04,0.0
1971-02-05,0.0
1971-02-06,0.0
1971-02-07,0.0
1971-02-08,0.0
1971-02-09,0.0
1971-02-10,0.0
1971-02-11,0.0
1971-02-12,0.0
1971-02-13,0.0
1971-02-14,0.0
1971-02-15,0.0
1971-02-16,0.0
1971-02-17,0.0
1971-02-18,0.0
1971-02-19,0.0
1971-02-20,0.0
1971-02-21,0.0
1971-02-22,0.0
1971-02-23,0.0
1971-02-24,0.0
1971-02-25,0.0
1971-02-26,0.0
1971-02-27,0.0
1971-02-28,0.0
1971-03-01,0.0
1971-03-02,0.0
1971-03-03,0.0
1971-03-04,0.0
1971-03-05,0.0
1971-03-06,0.0
1971-03-07,0.0
1971-03-08,0.0
1971-03-09,0.0
1971-03-10,0.0
1971-03-11,0.0
1971-03-12,0.0
1971-03-13,0.0
1971-03-14,0.0
1971-03-15,0.0
1971-03-16,0.0
1971-03-17,0.0
1971-03-18,0.0
1971-03-19,0.0
1971-03-20,0.0
1971-03-21,0.0
1971-03-22,0.0
1971-03-23,0.0
1971-03-24,0.0
1971-03-25,0.0
1971-03-26,0.0
1971-03-27,0.0
1971-03-28,0.0
1971-03-29,0.0
1971-03-30,0.0
1971-03-31,0.0
1971-04-01,0.0
1971-04-02,0.0
1971-04-03,0.0
1971-04-04,0.0
1971-04-05,0.0
1971-04-06,0.0
1971-04-07,25.0
1971-04-08,0.0
1971-04-09,0.0
1971-04-10,0.0
1971-04-11,0.0
1971-04-12,0.0
1971-04-13,0.0
1971-04-14,0.0
1971-04-15,0.0
1971-04-16,8.0
1971-04-17,0.0
1971-04-18,0.0
1971-04-19,0.0
1971-04-20,0.0
1971-04-21,2.0
1971-04-22,0.0
1971-04-23,0.0
1971-04-24,8.6
1971-04-25,0.0
1971-04-26,0.0
1971-04-27,0.0
1971-04-28,7.4
1971-04-29,24.0
1971-04-30,0.0
1971-05-01,3.6
1971-05-02,0.0
1971-05-03,0.0
1971-05-04,0.0
1971-05-05,0.0
1971-05-06,0.0
1971-05-07,0.0
1971-05-08,0.0
1971-05-09,0.0
1971-05-10,0.0
1971-05-11,0.0
1971-05-12,0.0
1971-05-13,1.0
1971-05-14,0.0
1971-05-15,40.0
1971-05-16,0.0
1971-05-17,0.0
1971-05-18,106.0
1971-05-19,0.0
1971-05-20,2.0
1971-05-21,0.0
1971-05-22,0.0
1971-05-23,0.0
1971-05-24,0.0
1971-05-25,3.0
1971-05-26,6.6
1971-05-27,0.0
1971-05-28,0.0
1971-05-29,22.6
1971-05-30,26.8
1971-05-31,12.8
1971-06-01,13.8
1971-06-02,2.3
1971-06-03,0.0
1971-06-04,18.6
1971-06-05,38.6
1971-06-06,50.0
1971-06-07,14.0
1971-06-08,34.0
1971-06-09,9.6
1971-06-10,6.6
1971-06-11,18.2
1971-06-12,58.0
1971-06-13,2.0
1971-06-14,0.0
1971-06-15,4.0
1971-06-16,1.0
1971-06-17,19.0
1971-06-18,72.6
1971-06-19,9.2
1971-06-20,12.8
1971-06-21,18.0
1971-06-22,31.0
1971-06-23,60.6
1971-06-24,85.0
1971-06-25,74.6
1971-06-26,39.6
1971-06-27,30.0
1971-06-28,55.6
1971-06-29,88.0
1971-06-30,13.0
1971-07-01,2.0
1971-07-02,0.0
1971-07-03,6.6
1971-07-04,22.0
1971-07-05,6.6
1971-07-06,6.4
1971-07-07,6.0
1971-07-08,17.0
1971-07-09,0.8
1971-07-10,0.0
1971-07-11,5.0
1971-07-12,0.0
1971-07-13,0.0
1971-07-14,0.4
1971-07-15,13.0
1971-07-16,35.8
1971-07-17,15.8
1971-07-18,18.8
1971-07-19,5.0
1971-07-20,20.8
1971-07-21,77.0
1971-07-22,22.0
1971-07-23,55.6
1971-07-24,45.8
1971-07-25,14.0
1971-07-26,24.6
1971-07-27,8.6
1971-07-28,22.8
1971-07-29,46.0
1971-07-30,86.6
