Date,RF
1971-02-01,0.0
1971-02-02,0.0
1971-02-03,0.0
1971-02-04,0.0
1971-02-05,0.0
1971-02-06,0.0
1971-02-07,0.0
1971-02-08,0.0
1971-02-09,0.0
1971-02-10,0.0
1971-02-11,0.0
1971-02-12,0.0
1971-02-13,0.0
1971-02-14,0.0
1971-02-15,0.0
1971-02-16,0.0
1971-02-17,0.0
1971-02-18,0.0
1971-02-19,0.0
1971-02-20,0.0
1971-02-21,0.0
1971-02-22,0.0
1971-02-23,0.0
1971-02-24,0.0
1971-02-25,0.0
1971-02-26,0.0
1971-02-27,0.0
1971-02-28,0.0
1971-03-01,0.0
1971-03-02,0.0
1971-03-03,0.0
1971-03-04,0.0
1971-03-05,0.0
1971-03-06,0.0
1971-03-07,0.0
1971-03-08,0.0
1971-03-09,0.0
1971-03-10,0.0
1971-03-11,1.6
1971-03-12,0.0
1971-03-13,0.0
1971-03-14,0.0
1971-03-15,0.0
1971-03-16,0.0
1971-03-17,0.0
1971-03-18,0.0
1971-03-19,0.0
1971-03-20,0.0
1971-03-21,0.0
1971-03-22,0.0
1971-03-23,0.0
1971-03-24,0.0
1971-03-25,0.0
1971-03-26,0.0
1971-03-27,0.0
1971-03-28,0.0
1971-03-29,0.0
1971-03-30,0.0
1971-03-31,0.0
1971-04-01,0.0
1971-04-02,0.0
1971-04-03,0.0
1971-04-04,0.0
1971-04-05,0.0
1971-04-06,0.0
1971-04-07,21.0
1971-04-08,0.0
1971-04-09,0.0
1971-04-10,0.0
1971-04-11,0.0
1971-04-12,13.4
1971-04-13,0.0
1971-04-14,0.0
1971-04-15,0.0
1971-04-16,8.8
1971-04-17,0.0
1971-04-18,0.0
1971-04-19,5.4
1971-04-20,0.0
1971-04-21,0.0
1971-04-22,0.0
1971-04-23,0.0
1971-04-24,36.6
1971-04-25,0.0
1971-04-26,0.0
1971-04-27,0.0
1971-04-28,0.0
1971-04-29,0.0
1971-04-30,0.0
1971-05-01,3.0
1971-05-02,0.0
1971-05-03,0.0
1971-05-04,0.0
1971-05-05,0.0
1971-05-06,0.0
1971-05-07,0.0
1971-05-08,0.0
1971-05-09,0.0
1971-05-10,0.0
1971-05-11,0.0
1971-05-12,3.8
1971-05-13,0.0
1971-05-14,11.0
1971-05-15,0.0
1971-05-16,0.0
1971-05-17,4.5
1971-05-18,0.0
1971-05-19,0.0
1971-05-20,0.0
1971-05-21,0.0
1971-05-22,0.0
1971-05-23,0.0
1971-05-24,9.0
1971-05-25,5.2
1971-05-26,0.0
1971-05-27,0.0
1971-05-28,29.0
1971-05-29,13.0
1971-05-30,0.0
1971-05-31,10.4
1971-06-01,0.0
1971-06-02,0.0
1971-06-03,0.0
1971-06-04,7.8
1971-06-05,23.0
1971-06-06,39.6
1971-06-07,28.6
1971-06-08,19.0
1971-06-09,0.0
1971-06-10,14.8
1971-06-11,18.4
1971-06-12,37.0
1971-06-13,0.0
1971-06-14,0.0
1971-06-15,9.4
1971-06-16,1.4
1971-06-17,20.0
1971-06-18,10.0
1971-06-19,6.0
1971-06-20,4.0
1971-06-21,20.0
1971-06-22,73.0
1971-06-23,34.0
1971-06-24,79.0
1971-06-25,70.0
