Date,RF
1990-06-01,19.6
1990-06-02,4.8
1990-06-03,6.6
1990-06-04,5.0
1990-06-05,0.0
1990-06-06,8.4
1990-06-07,10.2
1990-06-08,10.0
1990-06-09,49.6
1990-06-10,11.0
1990-06-11,8.0
1990-06-12,36.6
1990-06-13,59.6
1990-06-14,24.8
1990-06-15,5.0
1990-06-16,0.9
1990-06-17,2.0
1990-06-18,0.0
1990-06-19,6.8
1990-06-20,31.4
1990-06-21,42.4
1990-06-22,39.4
1990-06-23,4.8
1990-06-24,0.0
1990-06-25,22.8
1990-06-26,16.4
1990-06-27,6.0
1990-06-28,0.0
1990-06-29,2.4
1990-06-30,20.4
1990-07-01,31.2
1990-07-02,38.2
1990-07-03,52.4
1990-07-04,35.2
1990-07-05,62.4
1990-07-06,18.6
1990-07-07,8.6
1990-07-08,18.4
1990-07-09,6.8
1990-07-10,22.6
1990-07-11,56.2
1990-07-12,38.0
1990-07-13,8.0
1990-07-14,24.0
1990-07-15,16.8
1990-07-16,1.1
1990-07-17,4.0
1990-07-18,16.4
1990-07-19,21.4
1990-07-20,18.8
1990-07-21,8.6
1990-07-22,15.6
1990-07-23,5.6
1990-07-24,0.0
1990-07-25,56.8
1990-07-26,12.4
1990-07-27,0.0
1990-07-28,6.8
1990-07-29,0.0
1990-07-30,12.4
1990-07-31,4.6
1990-08-01,4.2
1990-08-02,6.2
1990-08-03,36.6
1990-08-04,16.4
1990-08-05,2.6
1990-08-06,10.4
1990-08-07,3.6
1990-08-08,0.0
1990-08-09,12.4
1990-08-10,21.4
1990-08-11,42.6
1990-08-12,4.2
1990-08-13,1.8
1990-08-14,2.4
1990-08-15,21.4
1990-08-16,1.2
1990-08-17,1.0
1990-08-18,0.0
1990-08-19,0.0
1990-08-20,4.6
1990-08-21,0.0
1990-08-22,0.0
1990-08-23,1.4
1990-08-24,16.6
1990-08-25,0.0
1990-08-26,0.0
1990-08-27,0.0
1990-08-28,0.0
1990-08-29,0.0
1990-08-30,2.4
1990-08-31,0.0
1990-09-01,5.2
1990-09-02,1.6
1990-09-03,0.0
1990-09-04,0.0
1990-09-05,0.6
1990-09-06,4.6
1990-09-07,8.6
