Date,RF
1981-10-01,0.0
1981-10-02,0.0
1981-10-03,0.0
1981-10-04,0.0
1981-10-05,0.0
1981-10-06,19.0
1981-10-07,0.0
1981-10-08,0.0
1981-10-09,0.0
1981-10-10,5.4
1981-10-11,0.0
1981-10-12,0.0
1981-10-13,9.0
1981-10-14,0.0
1981-10-15,0.0
1981-10-16,0.0
1981-10-17,0.0
1981-10-18,0.0
1981-10-19,0.0
1981-10-20,6.0
1981-10-21,4.0
1981-10-22,0.0
1981-10-23,0.0
1981-10-24,43.0
1981-10-25,2.0
1981-10-26,1.0
1981-10-27,8.0
1981-10-28,0.0
1981-10-29,16.4
1981-10-30,14.2
1981-10-31,12.0
1981-11-01,23.0
1981-11-02,6.0
1981-11-03,0.0
1981-11-04,0.0
1981-11-05,0.0
1981-11-06,0.0
1981-11-07,0.0
1981-11-08,0.0
1981-11-09,35.0
1981-11-10,16.0
1981-11-11,0.0
1981-11-12,0.0
1981-11-13,0.0
1981-11-14,0.0
1981-11-15,0.0
1981-11-16,0.0
1981-11-17,0.0
1981-11-18,0.0
1981-11-19,0.0
1981-11-20,0.0
1981-11-21,0.0
1981-11-22,0.0
1981-11-23,0.0
1981-11-24,0.0
1981-11-25,0.0
1981-11-26,0.0
1981-11-27,0.0
1981-11-28,0.0
1981-11-29,0.0
1981-11-30,0.0
1990-10-01,0.0
1990-10-02,0.0
1990-10-03,0.0
1990-10-04,0.0
1990-10-05,0.0
1990-10-06,0.0
1990-10-07,0.0
1990-10-08,0.0
1990-10-09,0.0
1990-10-10,0.0
1990-10-11,0.0
1990-10-12,0.0
1990-10-13,0.0
1990-10-14,0.0
1990-10-15,0.0
1990-10-16,0.0
1990-10-17,0.0
1990-10-18,0.0
1990-10-19,0.0
1990-10-20,0.0
1990-10-21,0.0
1990-10-22,0.0
1990-10-23,2.0
1990-10-24,15.0
1990-10-25,14.0
1990-10-26,5.3
1990-10-27,0.0
1990-10-28,0.0
1990-10-29,0.0
1990-10-30,19.1
1990-10-31,53.3
1994-10-01,0.0
1994-10-02,0.0
1994-10-03,5.0
1994-10-04,0.0
1994-10-05,0.0
1994-10-06,8.0
1994-10-07,0.0
1994-10-08,0.0
1994-10-09,0.0
1994-10-10,0.0
1994-10-11,0.0
1994-10-12,0.0
1994-10-13,0.0
1994-10-14,0.0
1994-10-15,63.0
1994-10-16,0.0
1994-10-17,0.0
1994-10-18,5.0
